ID,Modulo,Prioridad,Caso,Pasos,ResultadoEsperado,Resultado,Evidencia,Observaciones
LG-01,Login,Alta,Login exitoso,"Ir a /login; ingresar credenciales validas; enviar","Redireccion a dashboard con sesion activa",,,
LG-02,Login,Alta,Credenciales invalidas,"Ir a /login; ingresar contrasena incorrecta; enviar","Mensaje de error y sin sesion",,,
LG-03,Login,Alta,Campos obligatorios,"Dejar formulario vacio; enviar","Validaciones visibles de correo y contrasena",,,
LG-04,Login,Media,Correo invalido,"Ingresar correo con formato invalido; enviar","Validacion de formato de correo",,,
LO-01,Sesion,Alta,Cerrar sesion,"Iniciar sesion; click logout","Redireccion a /login y sesion cerrada",,,
LO-02,Sesion,Alta,Bloqueo sin sesion,"Sin sesion abrir /dashboard","Redireccion a /login",,,
NAV-01,Navegacion,Alta,Menu principal,"Recorrer Dashboard Clientes Proyectos Tareas Finanzas Administracion","Todas las vistas cargan sin error",,,
NAV-02,Navegacion,Media,Ruta invalida,"Abrir URL inexistente","Redireccion controlada",,,
NAV-03,Navegacion,Media,Refresh con sesion,"Con sesion refrescar en modulo interno","Mantiene sesion y estado estable",,,
CLI-01,Clientes,Alta,Alta valida de cliente,"Crear cliente con datos minimos validos","Guarda y aparece en listado",,,
CLI-02,Clientes,Alta,Validaciones de cliente,"Intentar guardar sin nombre o email invalido","Bloquea guardado con mensajes",,,
CLI-03,Clientes,Media,Filtros y paginacion,"Buscar filtrar por estado y paginar","Resultados coherentes",,,
PRO-01,Proyectos,Alta,Alta valida de proyecto,"Crear proyecto con cliente y datos minimos","Guarda y figura en listado",,,
PRO-02,Proyectos,Alta,Validacion de fechas,"Ingresar fecha fin menor a inicio","Bloquea guardado con mensaje",,,
PRO-03,Proyectos,Media,Filtros de proyecto,"Aplicar filtros y limpiar","Aplica y reinicia correctamente",,,
TAR-01,Tareas,Alta,Alta valida de tarea,"Crear tarea con datos minimos validos","Guarda y aparece en lista",,,
TAR-02,Tareas,Alta,Fechas invalidas de tarea,"Ingresar vencimiento menor a inicio","Validacion y no guarda",,,
TAR-03,Tareas,Media,Vista lista tablero,"Alternar entre lista y tablero","Ambas vistas estables",,,
TAR-04,Tareas,Media,Rango invalido en filtros,"Desde mayor que hasta; aplicar","Mensaje de error y pantalla estable",,,
FIN-01,Finanzas,Alta,Alta ingreso y egreso,"Crear un ingreso y un egreso validos","Ambos se guardan y listan",,,
FIN-02,Finanzas,Alta,Fecha vencimiento invalida,"Ingresar vencimiento menor a fecha de movimiento","Validacion y bloqueo de guardado",,,
FIN-03,Finanzas,Alta,Categorias semilla,"Abrir selector de categorias en movimiento","Aparecen categorias base requeridas",,,
FIN-04,Finanzas,Media,Filtros y paginacion,"Filtrar por tipo estado fecha y paginar","Resultados consistentes",,,
DAS-01,Dashboard,Alta,Carga general,"Abrir dashboard con sesion activa","KPIs y tablas cargan sin error",,,
DAS-02,Dashboard,Media,Estado vacio,"Probar entorno con pocos datos","Mensaje vacio correcto sin fallas",,,
PER-01,Permisos,Alta,Administracion con admin,"Login admin y abrir /administracion","Acceso permitido",,,
PER-02,Permisos,Alta,Bloqueo administracion sin permiso,"Login usuario sin permiso y abrir /administracion","Redireccion o bloqueo de acceso",,,
PER-03,Permisos,Media,Acceso directo por URL protegida,"Sin sesion abrir rutas privadas","Redireccion a /login",,,
